 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   VariSat      348                 165                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   Splr         932                 99                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_9   BatSat       264                 54                  UNSAT 
 almost_symmetric_network_16_orgs_                       ScrewSat     135358              137028              UNSAT 
 almost_symmetric_network_16_orgs_                       VariSat      25177               55694               UNSAT 
 almost_symmetric_network_16_orgs_                       Splr         60428               982180              UNSAT 
 almost_symmetric_network_16_orgs_                       BatSat       19368               30914               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   ScrewSat     179403              1908017             UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   VariSat      37662               108910              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   Splr         88919               5527278             UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_1   BatSat       29648               198578              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  ScrewSat     1784                145                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  VariSat      623                 144                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  Splr         618                 72                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_10  BatSat       352                 60                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  ScrewSat     1641                160                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  VariSat      406                 120                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  Splr         998                 91                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_11  BatSat       358                 82                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  ScrewSat     1209                263                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  VariSat      340                 103                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  Splr         955                 76                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_12  BatSat       284                 76                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  ScrewSat     1296                306                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  VariSat      340                 152                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  Splr         784                 65                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_13  BatSat       348                 76                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  ScrewSat     1899                197                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  VariSat      338                 192                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  Splr         870                 841                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_14  BatSat       282                 92                  UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  ScrewSat     1461                58                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  VariSat      688                 69                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  Splr         2855                2155                SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_15  BatSat       468                 66                  SAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   ScrewSat     193349              270481              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   VariSat      33406               34431               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   Splr         79976               651422              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_2   BatSat       26717               21024               UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   ScrewSat     30245               8995                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   VariSat      6975                1390                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   Splr         16365               116800              UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_3   BatSat       5504                621                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   ScrewSat     19879               3714                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   VariSat      4305                1860                UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   Splr         9827                948                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_4   BatSat       3565                285                 UNSAT 
 almost_symmetric_network_16_orgs_delete_prob_factor_5   ScrewSat     3170                393                 UNSAT 
